id,draw_id,ts_utc,period,market,pick,p_win,source,vote_ratio,pick_zh,day_id_cst,created_at
863415_2025-09-29_size_small,863415_2025-09-29,2025-09-28 09:57:05,863415,size,small,0.37339999999999995,size,0.37339999999999995,小,2025-09-29,2025-09-29 01:57:46
863302_2025-09-29_size_big,863302_2025-09-29,2025-09-28 00:32:36,863302,size,big,0.5569000000000001,size,0.5569000000000001,大,2025-09-29,2025-09-29 01:57:46
863387_2025-09-29_size_small,863387_2025-09-29,2025-09-28 07:38:22,863387,size,small,0.43820000000000003,size,0.43820000000000003,小,2025-09-29,2025-09-29 01:57:46
863347_2025-09-29_size_small,863347_2025-09-29,2025-09-28 04:19:31,863347,size,small,0.44900000000000007,size,0.44900000000000007,小,2025-09-29,2025-09-29 01:57:46
863491_2025-09-29_size_small,863491_2025-09-29,2025-09-28 16:18:55,863491,size,small,0.2317,size,0.2317,小,2025-09-29,2025-09-29 01:57:46
863309_2025-09-29_size_small,863309_2025-09-29,2025-09-28 01:08:31,863309,size,small,0.32409999999999994,size,0.32409999999999994,小,2025-09-29,2025-09-29 01:57:46
863389_2025-09-29_size_small,863389_2025-09-29,2025-09-28 07:49:04,863389,size,small,0.3379,size,0.3379,小,2025-09-29,2025-09-29 01:57:46
863368_2025-09-29_size_big,863368_2025-09-29,2025-09-28 06:04:35,863368,size,big,0.5888,size,0.5888,大,2025-09-29,2025-09-29 01:57:46
863363_2025-09-29_size_big,863363_2025-09-29,2025-09-28 05:37:37,863363,size,big,0.5881000000000001,size,0.5881000000000001,大,2025-09-29,2025-09-29 01:57:46
863377_2025-09-29_size_big,863377_2025-09-29,2025-09-28 06:47:15,863377,size,big,0.5677,size,0.5677,大,2025-09-29,2025-09-29 01:57:46
